Title,Question,Answer,Context
American Revolution,What is the significance of American Revolution?,american revolution rebellion political movement thirteen colonies peaked colonists initiated ultimately successful war independence kingdom great britain leaders american revolution colonial separatist leaders originally sought autonomy british subjects later assembled support revolutionary war ended british colonial rule colonies establishing independence united states america july discontent colonial rule began shortly defeat france french indian war although colonies fought supported war parliament imposed new taxes compensate wartime costs turned control colonies western lands british officials montreal representatives several colonies convened stamp act congress declaration rights grievances argued taxation without representation violated rights englishmen tensions flared following british parliament passage townshend acts effort quell mounting rebellion king george iii deployed troops boston local confrontation resulted troops killing protesters boston massacre march anti tax demonstrators rhode island destroyed royal navy customs schooner gaspee december activists disguised indians created boston tea party dumped chests tea owned british east india company boston harbor london closed boston harbor enacted series punitive laws effectively ended self government massachusetts late thirteen colonies georgia joined sent delegates first continental congress philadelphia began coordinating patriot resistance underground networks committees april british forces attempted disarm local militias around boston engaged june second continental congress responded authorizing formation continental army appointing george washington commander chief august king proclaimed massachusetts state open defiance rebellion continental army surrounded boston british withdrew sea march leaving patriots control every colony july second continental congress began take role governing new nation passed lee resolution national independence july july adopted declaration independence embodied political philosophies liberalism republicanism rejected monarchy aristocracy famously proclaimed men created equal fighting continued five years known revolutionary war time kingdoms france spain entered allies united states decisive victory came fall combined american french armies captured entire british army siege yorktown defeat led collapse king george control parliament majority favor ending war american terms september british signed treaty paris giving united states nearly territory east mississippi river south great lakes loyalists migrated british territories canada elsewhere great majority remained united states victory american revolution united states became first constitutional republic world history founded consent governed rule law,"The American Revolution was a rebellion and political movement in the Thirteen Colonies which peaked when colonists initiated an ultimately successful war for independence against the Kingdom of Great Britain. Leaders of the American Revolution were colonial separatist leaders who originally sought more autonomy as British subjects, but later assembled to support the Revolutionary War, which ended British colonial rule over the colonies, establishing their independence as the United States of America in July 1776.
Discontent with colonial rule began shortly after the defeat of France in the French and Indian War in 1763. Although the colonies had fought and supported the war, Parliament imposed new taxes to compensate for wartime costs and turned control of the colonies' western lands over to the British officials in Montreal. Representatives from several colonies convened the Stamp Act Congress; its ""Declaration of Rights and Grievances"" argued that taxation without representation violated their rights as Englishmen. In 1767, tensions flared again following the British Parliament's passage of the Townshend Acts. In an effort to quell the mounting rebellion, King George III deployed troops to Boston. A local confrontation resulted in the troops killing protesters in the Boston Massacre on March 5, 1770. In 1772, anti-tax demonstrators in Rhode Island destroyed the Royal Navy customs schooner Gaspee. On December 16, 1773, activists disguised as Indians created the Boston Tea Party and dumped chests of tea owned by the British East India Company into Boston Harbor. London closed Boston Harbor and enacted a series of punitive laws, which effectively ended self-government in Massachusetts.
In late 1774, 12 of the Thirteen Colonies (Georgia joined in 1775) sent delegates to the First Continental Congress in Philadelphia. It began coordinating Patriot resistance through underground networks of committees. In April 1775 British forces attempted to disarm local militias around Boston and engaged them.  On June 14, 1775, the Second Continental Congress responded by authorizing formation of the Continental Army and appointing George Washington as its commander-in-chief. In August the king proclaimed Massachusetts to be in a state of open defiance and rebellion. The Continental Army surrounded Boston, and the British withdrew by sea in March 1776, leaving the Patriots in control in every colony. In July 1776, the Second Continental Congress began to take on the role of governing a new nation. It passed the Lee Resolution for national independence on July 2, and on July 4, 1776, adopted the Declaration of Independence, which embodied the political philosophies of liberalism and republicanism, rejected monarchy and aristocracy, and famously proclaimed that ""all men are created equal"".
The fighting continued for five years, now known as the Revolutionary War. During that time, the kingdoms of France and Spain entered as allies of the United States. The decisive victory came in the fall of 1781, when the combined American and French armies captured an entire British army in the Siege of Yorktown. The defeat led to the collapse of King George's control of Parliament, with a majority now in favor of ending the war on American terms. On September 3, 1783, the British signed the Treaty of Paris giving the United States nearly all the territory east of the Mississippi River and south of the Great Lakes. About 60,000 Loyalists migrated to other British territories in Canada and elsewhere, but the great majority remained in the United States. With its victory in the American Revolution, the United States became the first constitutional republic in world history founded on the consent of the governed and the rule of law.

"
Flag on Prospect Hill debate,What is the significance of Flag on Prospect Hill debate?,according tradition first flag united states grand union flag continental colours raised general george washington prospect hill somerville massachusetts january attempt raise morale men continental army foot liberty pole situated prospect hill august visible parts american lines well boston standard account questioned modern researchers notably peter ansoff published paper entitled flag prospect hill advances argument washington flew union jack british union flag continental colours bears stripes others byron delear argued favour traditional version events prospect hill monument erected annual flag raising ceremonies involving american revolutionary war reenactors held prospect hill new year day,"According to tradition, the first flag of the United States, the Grand Union Flag (""Continental Colours""), was raised by General George Washington at Prospect Hill in Somerville, Massachusetts, on 1 January 1776, in an attempt to raise the morale of the men of the Continental Army. There was a 76-foot liberty pole situated on Prospect Hill on 22 August 1775 that ""was visible from most parts of the American lines, as well as from Boston"". The standard account has been questioned by modern researchers most notably Peter Ansoff, who in 2006 published a paper entitled ""The Flag on Prospect Hill"" where he advances the argument that Washington flew the Union Jack (""British Union Flag"") and not the Continental Colours that bears 13 stripes. Others, such as Byron DeLear, have argued in favour of the traditional version of events.
There is a Prospect Hill Monument that was erected in 1903 and annual flag-raising ceremonies involving American Revolutionary War reenactors are held at Prospect Hill on New Year's Day."
Boston Caucus,What is the significance of Boston Caucus?,boston caucus informal political organization considerable influence boston years american revolution perhaps first use word caucus mean meeting members movement political party agree common position boston caucus established around popular physician merchant elisha cooke jr quickly grew powerful political force area later activities associate samuel adams run american independence adams became influential leader caucus used club help gain political leeway group developed nefarious rebellious reputation meeting taverns plotting boston caucus samuel adams reputed significant influence events associated boston tea party,"The Boston Caucus was an informal political organization that had considerable influence in Boston in the years before and after the American Revolution. This was perhaps the first use of the word caucus to mean a meeting of members of a movement or political party to agree on a common position.
The Boston Caucus was established in around 1719 by the popular physician and merchant Elisha Cooke, Jr. It quickly grew as a powerful political force in the area but its later activities are what associate it most with Samuel Adams and the run up to American Independence. Adams became an influential leader of the caucus in the 1750s and used the club in the 1760s and 1770s to help gain him political leeway. The group developed a nefarious, rebellious reputation, meeting in taverns, and plotting.  The Boston Caucus and Samuel Adams were reputed to have had significant influence in 1773 with the events associated with the Boston Tea Party."
Boston Massacre,What is the significance of Boston Massacre?,boston massacre known great britain incident king street confrontation boston march nine british soldiers shot several crowd three four hundred harassing verbally throwing various projectiles event heavily publicized massacre leading patriots paul revere samuel adams british troops stationed province massachusetts bay since order support crown appointed officials enforce unpopular parliamentary legislation amid tense relations civilians soldiers mob formed around british sentry verbally abused eventually supported seven additional soldiers led captain thomas preston hit clubs stones snowballs eventually one soldier fired prompting others fire without order preston gunfire instantly killed three people wounded eight others two later died wounds crowd eventually dispersed acting governor thomas hutchinson promised inquiry reformed next day prompting withdrawal troops castle island eight soldiers one officer four civilians arrested charged murder defended court attorney future u president john adams six soldiers acquitted two convicted manslaughter given reduced sentences two found guilty manslaughter sentenced branding hand depictions reports propaganda event heightened tensions throughout thirteen colonies notably colored engraving produced paul revere,"The Boston Massacre (known in Great Britain as the Incident on King Street) was a confrontation in Boston on March 5, 1770, in which nine British soldiers shot several of a crowd of three or four hundred who were harassing them verbally and throwing various projectiles. The event was heavily publicized as ""a massacre"" by leading Patriots such as Paul Revere and Samuel Adams. British troops had been stationed in the Province of Massachusetts Bay since 1768 in order to support crown-appointed officials and to enforce unpopular Parliamentary legislation.
Amid tense relations between the civilians and the soldiers, a mob formed around a British sentry and verbally abused him. He was eventually supported by seven additional soldiers, led by Captain Thomas Preston, who were hit by clubs, stones, and snowballs. Eventually, one soldier fired, prompting the others to fire without an order by Preston. The gunfire instantly killed three people and wounded eight others, two of whom later died of their wounds.
The crowd eventually dispersed after acting governor Thomas Hutchinson promised an inquiry, but they reformed the next day, prompting the withdrawal of the troops to Castle Island. Eight soldiers, one officer, and four civilians were arrested and charged with murder, and they were defended in court by attorney, and future U.S. president, John Adams. Six of the soldiers were acquitted; the other two were convicted of manslaughter and given reduced sentences. The two found guilty of manslaughter were sentenced to branding on their hand.
Depictions, reports, and propaganda about the event heightened tensions throughout the Thirteen Colonies, notably the colored engraving produced by Paul Revere."
Brown Bess,What is the significance of Brown Bess?,brown bess nickname uncertain origin british army muzzle loading smoothbore flintlock land pattern musket derivatives musket design remained use hundred years many incremental changes design versions include long land pattern short land pattern india pattern new land pattern musket sea service musket long land pattern musket derivatives inches calibre flintlock muskets standard long guns british empire land forces superseded percussion cap smoothbore musket british ordnance system converted many flintlocks new percussion system known pattern musket fire tower london destroyed many muskets could converted still brown bess saw service middle nineteenth century male citizens thirteen colonies british america required law arms ammunition militia duty long land pattern common firearm use sides american war independence napoleonic wars united kingdom subsidised sweden period finland swedish rule various ways british government anxiously wanted keep ally baltic sea region included deliveries significant numbers brown bess muskets use finnish war musket wars māori warriors used brown besses purchased european traders time muskets sold mexican army used texas revolution mexican american war brown besses saw service first opium war indian rebellion zulu warriors also purchased european traders used anglo zulu war one even used battle shiloh american civil war,"""Brown Bess"" is a nickname of uncertain origin for the British Army's muzzle-loading smoothbore flintlock Land Pattern Musket and its derivatives. The musket design remained in use for over a hundred years with many incremental changes in its design. These versions include the Long Land Pattern, the Short Land Pattern, the India Pattern, the New Land Pattern Musket, and the Sea Service Musket.
The Long Land Pattern musket and its derivatives, all 0.75 inches calibre flintlock muskets, were the standard long guns of the British Empire's land forces from 1722 until 1838, when they were superseded by a percussion cap smoothbore musket. The British Ordnance System converted many flintlocks into the new percussion system known as the Pattern 1839 Musket. A fire in 1841 at the Tower of London destroyed many muskets before they could be converted. Still, the Brown Bess saw service until the middle of the nineteenth century.
Most male citizens of the thirteen colonies of British America were required by law to own arms and ammunition for militia duty. The Long Land Pattern was a common firearm in use by both sides in the American War of Independence.
In 1808 during the Napoleonic Wars, the United Kingdom subsidised Sweden (during the period when Finland was under Swedish rule) in various ways as the British government anxiously wanted to keep an ally in the Baltic Sea region. These included deliveries of significant numbers of Brown Bess-muskets for use in the Finnish War of 1808 to 1809.
During the Musket Wars (1820s–30s), Māori warriors used Brown Besses purchased from European traders at the time. Some muskets were sold to the Mexican Army, which used them during the Texas Revolution of 1836 and the Mexican–American War of 1846 to 1848. Brown Besses saw service in the First Opium War and during the Indian rebellion of 1857. Zulu warriors, who had also purchased them from European traders, used them during the Anglo-Zulu War in 1879. One was even used in the Battle of Shiloh in 1862, during the American Civil War."
Commemoration of the American Revolution,What is the significance of Commemoration of the American Revolution?,commemoration american revolution typifies patriotic sentiment surrounding american revolution desire preserve honor spirit founding story united states covered schools memorialized national holiday commemorated monuments artwork popular culture independence day fourth july major national holiday celebrated annually besides local sites bunker hill one first national pilgrimages memorial tourists mount vernon george washington estate attracted ten thousand visitors year,"Commemoration of the American Revolution typifies the patriotic sentiment surrounding the American Revolution and the desire to preserve and honor the ""Spirit of '76"". As the founding story of the United States, it is covered in the schools, memorialized by a national holiday, and commemorated in monuments, artwork, and in popular culture. Independence Day (the ""Fourth of July"") is a major national holiday celebrated annually. Besides local sites such as Bunker Hill, one of the first national pilgrimages for memorial tourists was Mount Vernon, George Washington's estate, which attracted ten thousand visitors a year by the 1850s."
Committee of safety (American Revolution),What is the significance of Committee of safety (American Revolution)?,american revolution committees correspondence committees inspection also known committees observation committees safety different local committees patriots became shadow government took control thirteen colonies away royal officials became increasingly helpless province massachusetts bay affairs drew toward crisis became usual towns appoint three committees correspondence inspection safety first keep community informed dangers either legislative executive concert measures public good second watch violations non importation agreements attempts loyalists evade third act general executive legal authority abeyance february regularly legalized massachusetts general court consolidated one called committee correspondence inspection safety elected annually towns,"In the American Revolution, committees of correspondence, committees of inspection, also known as committees of observation and committees of safety, were different local committees of Patriots that became a shadow government; they took control of the Thirteen Colonies away from royal officials, who became increasingly helpless.
In the Province of Massachusetts Bay, as affairs drew toward a crisis, it became usual for towns to appoint three committees: of correspondence, of inspection, and of safety. The first was to keep the community informed of dangers either legislative or executive, and concert measures of public good; the second to watch for violations of non-importation agreements, or attempts of loyalists to evade them; the third to act as general executive while the legal authority was in abeyance. In February 1776 these were regularly legalized by the Massachusetts General Court but consolidated into one called the ""Committee of Correspondence, Inspection, and Safety"" to be elected annually by the towns."
Committees of correspondence,What is the significance of Committees of correspondence?,committees correspondence collection american political organizations sought coordinate opposition british parliament later support american independence american revolution brainchild samuel adams patriot boston committees sought establish writing letters underground network communication among patriot leaders thirteen colonies committees instrumental setting first continental congress convened philadelphia september october,"The committees of correspondence were a collection of American political organizations that sought to coordinate opposition to British Parliament and, later, support for American independence during the American Revolution. The brainchild of Samuel Adams, a Patriot from Boston, the committees sought to establish, through the writing of letters, an underground network of communication among Patriot leaders in the Thirteen Colonies. The committees were instrumental in setting up the First Continental Congress, which convened in Philadelphia in September and October 1774."
Conquest of New France,What is the significance of Conquest of New France?,conquest new france french la conquête military conquest new france great britain seven years war started british campaign ended region put british military regime britain acquisition canada became official treaty paris concluded seven years war term usually used discussing impact british conquest french inhabitants well first nations issue popular scholarly debate ever since british treatment french population long term historical impact good ill,"The conquest of New France (French: La Conquête) –  the military conquest of New France by  Great Britain during the Seven Years' War of 1756–1763 –  started with a British campaign in 1758 and ended with the region being put under a British military regime between 1760 and 1763. Britain's acquisition of  Canada became official with the 1763 Treaty of Paris that concluded the Seven Years' War.
The term is usually used when discussing the impact of the British conquest on the 70,000 French inhabitants, as well as on the First Nations. At issue in popular and scholarly debate ever since is the British treatment of the French population, and the long-term historical impact for good or ill."
Constitutional Convention (United States),What is the significance of Constitutional Convention (United States)?,constitutional convention took place philadelphia may september although convention intended revise league states first system government articles confederation intention outset many proponents chief among james madison virginia alexander hamilton new york create new frame government rather fix existing one delegates elected george washington virginia former commanding general continental army late american revolutionary war proponent stronger national government become president convention result convention creation constitution united states placing convention among significant events american history convention took place old pennsylvania state house known independence hall philadelphia time convention referred constitutional convention contemporarily known federal convention philadelphia convention grand convention philadelphia delegates arrive intending draft new constitution many assumed purpose convention discuss draft improvements existing articles confederation would agreed participate otherwise convention began however delegates though came agree general terms goal would new system government simply revised version articles confederation several broad outlines proposed debated notably madison virginia plan william paterson new jersey plan virginia plan selected basis new government delegates quickly reached consensus general blueprint federal government three branches legislative executive judicial along basic role branch however disagreement specific design powers branches delayed progress weeks threatened success convention contentious disputes involved legislature specifically composition election procedures senate upper legislative house bicameral congress whether proportional representation defined state geography population role executive also hotly debated including key issues whether divide executive power among three people vest power single chief executive called president president would elected length presidential term number allowable terms offenses impeachable whether judges chosen legislature executive finally slavery also contentious issue delegates debating insertion fugitive slave clause whether allow abolition slave trade whether slaves counted proportional representation time convention spent deciding issues progress slow mid july connecticut compromise resolved enough lingering arguments draft written committee detail gain acceptance though modifications compromises made following weeks draft found finished version constitution several issues debated resolved committee style produced final version early september voted delegates inscribed parchment jacob shallus engraving printing signed delegates september completed proposed constitution printed several copies review began debates ratification process soon also printed newspapers public review,"The Constitutional Convention took place in Philadelphia from May 25 to September 17, 1787. Although the convention was intended to revise the league of states and first system of government under the Articles of Confederation, the intention from the outset of many of its proponents, chief among them James Madison of Virginia and Alexander Hamilton of New York, was to create a new frame of government rather than fix the existing one. The delegates elected George Washington of Virginia, former commanding general of the Continental Army in the late American Revolutionary War (1775–1783) and proponent of a stronger national government, to become President of the convention. The result of the convention was the creation of the Constitution of the United States, placing the Convention among the most significant events in American history.
The convention took place in the old Pennsylvania State House, now known as Independence Hall, in Philadelphia. At the time, the convention was not referred to as a constitutional convention. It was contemporarily known as the Federal Convention, the Philadelphia Convention, or the Grand Convention at Philadelphia. Nor did most of the delegates arrive intending to draft a new constitution. Many assumed that the purpose of the convention was to discuss and draft improvements to the existing Articles of Confederation, and would not have agreed to participate otherwise. Once the convention began, however, most of the delegates – though not all – came to agree in general terms that the goal would be a new system of government, not simply a revised version of the Articles of Confederation.
Several broad outlines were proposed and debated, most notably Madison's Virginia Plan and William Paterson's New Jersey Plan. The Virginia Plan was selected as the basis for the new government, and the delegates quickly reached consensus on a general blueprint of a federal government which has three branches (legislative, executive, and judicial) along with the basic role of each branch. However, disagreement over the specific design and powers of the branches delayed progress for weeks and threatened the success of the convention. The most contentious disputes involved the legislature, specifically the composition and election procedures for the Senate as the upper legislative house of a bicameral Congress, and whether proportional representation was to be defined by a state's geography or by its population. The role of the executive was also hotly debated, including the key issues of whether to divide the executive power among three people or vest the power in a single chief executive to be called the President; how a president would be elected; the length of a presidential term and the number of allowable terms; what offenses should be impeachable; and whether judges should be chosen by the legislature or the executive. Finally, slavery was also a contentious issue, with the delegates debating the insertion of a fugitive slave clause; whether to allow the abolition of the slave trade; and whether slaves were to be counted in proportional representation. Most of the time during the convention was spent on deciding these issues.
Progress was slow until mid-July, when the Connecticut Compromise resolved enough lingering arguments for a draft written by the Committee of Detail to gain acceptance. Though more modifications and compromises were made over the following weeks, most of this draft can be found in the finished version of the Constitution. After several more issues were debated and resolved, the Committee of Style produced the final version in early September. It was voted on by the delegates, inscribed on parchment by Jacob Shallus with engraving for printing, and signed by 39 of 55 delegates on September 17, 1787. The completed proposed Constitution was printed in several copies for review which began the debates and ratification process. Soon after it was also printed in newspapers for public review."
