Title,Summary
American Revolution,"The American Revolution was a rebellion and political movement in the Thirteen Colonies. It peaked when colonists initiated an ultimately successful war for independence against the Kingdom of Great Britain. Leaders of the American Revolution were colonial separatist leaders. On September 3, 1783, the British signed the Treaty of Paris giving the United States nearly all the territory east of the Mississippi River and south of the Great Lakes. About 60,000 Loyalists migrated to other British territories in Canada and elsewhere, but the great majority remained."
Flag on Prospect Hill debate,"According to tradition, the first flag of the United States, the Grand Union Flag, was raised by General George Washington at Prospect Hill in Somerville, Massachusetts, on 1 January 1776. The standard account has been questioned by modern researchers most notably Peter Ansoff, who in 2006 published a paper entitled ""The Flag on Prospect Hill"""
Template:American Revolution origins,Summary not available due to an error.
Boston Caucus,"The Boston Caucus was established in around 1719 by the popular physician and merchant Elisha Cooke, Jr. It quickly grew as a powerful political force in the area but its later activities are what associate it most with Samuel Adams and the run up to American Independence. The group developed a nefarious, rebellious reputation, meeting in taverns and plotting."
Boston Massacre,"The Boston Massacre was a confrontation in Boston on March 5, 1770. Nine British soldiers shot several of a crowd of three or four hundred. The event was heavily publicized as ""a massacre"" by leading Patriots such as Paul Revere and Samuel Adams."
Brown Bess,"""Brown Bess"" is a nickname of uncertain origin for the British Army's muzzle-loading smoothbore flintlock Land Pattern Musket and its derivatives. The musket design remained in use for over a hundred years with many incremental changes in its design."
Commemoration of the American Revolution,"The American Revolution is the founding story of the United States. It is covered in the schools, memorialized by a national holiday, and commemorated in monuments, artwork, and in popular culture."
Committee of safety (American Revolution),"In the Province of Massachusetts Bay, as affairs drew toward a crisis, it became usual for towns to appoint three committees: of correspondence, of inspection, and of safety. The first was to keep the community informed of dangers either legislative or executive, and concert measures of public good. The second to watch for violations of non-importation agreements, or attempts of loyalists to evade them. The third to act as general executive while the legal authority was in abeyance."
Committees of correspondence,"The committees of correspondence were a collection of American political organizations that sought to coordinate opposition to British Parliament. The brainchild of Samuel Adams, a Patriot from Boston, the committees sought to establish, through the writing of letters, an underground network of communication among Patriot leaders. The committees were instrumental in setting up the First Continental Congress, which convened in Philadelphia in September and October 1774."
Conquest of New France,The conquest of New France (French: La Conquête) started with a British campaign in 1758. The region was put under a British military regime between 1760 and 1763. Britain's acquisition of Canada became official with the 1763 Treaty of Paris.
Constitutional Convention (United States),"The Constitutional Convention took place in Philadelphia from May 25 to September 17, 1787. It was intended to revise the league of states and first system of government under the Articles of Confederation. The result of the convention was the creation of the Constitution of the United States. Most of the time during the convention was spent on deciding these issues. After several more issues were debated and resolved, the Committee of Style produced the final version in early September. It was voted on by the delegates, inscribed on parchment by Jacob Shallus with engraving for printing, and signed by 39 of 55 delegates."
Continental (currency),Summary not available due to an error.
Dearborn–Putnam controversy,"The Dearborn–Putnam controversy erupted in 1818 when Henry Dearborn published a post-war account of General Israel Putnam's performance during the Battle of Bunker Hill. Both Putnam and Dearborn were present before and during the battle, with Dearborn at the front lines while Putnam was about the battle scene directing troops and overseeing the construction of fortifications before the fighting began. The sons of both Dearborn and Putnam defended their respective fathers' positions."
