Title,Page ID,Description,Content
American Revolution,1973,"The American Revolution was a rebellion and political movement in the Thirteen Colonies which peaked when colonists initiated an ultimately successful war for independence against the Kingdom of Great Britain. Leaders of the American Revolution were colonial separatist leaders who originally sought more autonomy as British subjects, but later assembled to support the Revolutionary War, which ended British colonial rule over the colonies, establishing their independence as the United States of America in July 1776.
Discontent with colonial rule began shortly after the defeat of France in the French and Indian War in 1763. Although the colonies had fought and supported the war, Parliament imposed new taxes to compensate for wartime costs and turned control of the colonies' western lands over to the British officials in Montreal. Representatives from several colonies convened the Stamp Act Congress; its ""Declaration of Rights and Grievances"" argued that taxation without representation violated their rights as Englishmen. In 1767, tensions flared again following the British Parliament's passage of the Townshend Acts. In an effort to quell the mounting rebellion, King George III deployed troops to Boston. A local confrontation resulted in the troops killing protesters in the Boston Massacre on March 5, 1770. In 1772, anti-tax demonstrators in Rhode Island destroyed the Royal Navy customs schooner Gaspee. On December 16, 1773, activists disguised as Indians created the Boston Tea Party and dumped chests of tea owned by the British East India Company into Boston Harbor. London closed Boston Harbor and enacted a series of punitive laws, which effectively ended self-government in Massachusetts.
In late 1774, 12 of the Thirteen Colonies (Georgia joined in 1775) sent delegates to the First Continental Congress in Philadelphia. It began coordinating Patriot resistance through underground networks of committees. In April 1775 British forces attempted to disarm local militias around Boston and engaged them.  On June 14, 1775, the Second Continental Congress responded by authorizing formation of the Continental Army and appointing George Washington as its commander-in-chief. In August the king proclaimed Massachusetts to be in a state of open defiance and rebellion. The Continental Army surrounded Boston, and the British withdrew by sea in March 1776, leaving the Patriots in control in every colony. In July 1776, the Second Continental Congress began to take on the role of governing a new nation. It passed the Lee Resolution for national independence on July 2, and on July 4, 1776, adopted the Declaration of Independence, which embodied the political philosophies of liberalism and republicanism, rejected monarchy and aristocracy, and famously proclaimed that ""all men are created equal"".
The fighting continued for five years, now known as the Revolutionary War. During that time, the kingdoms of France and Spain entered as allies of the United States. The decisive victory came in the fall of 1781, when the combined American and French armies captured an entire British army in the Siege of Yorktown. The defeat led to the collapse of King George's control of Parliament, with a majority now in favor of ending the war on American terms. On September 3, 1783, the British signed the Treaty of Paris giving the United States nearly all the territory east of the Mississippi River and south of the Great Lakes. About 60,000 Loyalists migrated to other British territories in Canada and elsewhere, but the great majority remained in the United States. With its victory in the American Revolution, the United States became the first constitutional republic in world history founded on the consent of the governed and the rule of law.

","The American Revolution was a rebellion and political movement in the Thirteen Colonies which peaked when colonists initiated an ultimately successful war for independence against the Kingdom of Great Britain. Leaders of the American Revolution were colonial separatist leaders who originally sought more autonomy as British subjects, but later assembled to support the Revolutionary War, which ended British colonial rule over the colonies, establishing their independence as the United States of America in July 1776.
Discontent with colonial rule began shortly after the defeat of France in the French and Indian War in 1763. Although the colonies had fought and supported the war, Parliament imposed new taxes to compensate for wartime costs and turned control of the colonies' western lands over to the British officials in Montreal. Representatives from several colonies convened the Stamp Act Congress; its ""Declaration of Rights and Grievances"" argued that taxation without representation violated their rights as Englishmen. In 1767, tensions flared again following the British Parliament's passage of the Townshend Acts. In an effort to quell the mounting rebellion, King George III deployed troops to Boston. A local confrontation resulted in the troops killing protesters in the Boston Massacre on March 5, 1770. In 1772, anti-tax demonstrators in Rhode Island destroyed the Royal Navy customs schooner Gaspee. On December 16, 1773, activists disguised as Indians created the Boston Tea Party and dumped chests of tea owned by the British East India Company into Boston Harbor. London closed Boston Harbor and enacted a series of punitive laws, which effectively ended self-government in Massachusetts.
In late 1774, 12 of the Thirteen Colonies (Georgia joined in 1775) sent delegates to the First Continental Congress in Philadelphia. It began coordinating Patriot resistance through underground networks of committees. In April 1775 British forces attempted to disarm local militias around Boston and engaged them.  On June 14, 1775, the Second Continental Congress responded by authorizing formation of the Continental Army and appointing George Washington as its commander-in-chief. In August the king proclaimed Massachusetts to be in a state of open defiance and rebellion. The Continental Army surrounded Boston, and the British withdrew by sea in March 1776, leaving the Patriots in control in every colony. In July 1776, the Second Continental Congress began to take on the role of governing a new nation. It passed the Lee Resolution for national independence on July 2, and on July 4, 1776, adopted the Declaration of Independence, which embodied the political philosophies of liberalism and republicanism, rejected monarchy and aristocracy, and famously proclaimed that ""all men are created equal"".
The fighting continued for five years, now known as the Revolutionary War. During that time, the kingdoms of France and Spain entered as allies of the United States. The decisive victory came in the fall of 1781, when the combined American and French armies captured an entire British army in the Siege of Yorktown. The defeat led to the collapse of King George's control of Parliament, with a majority now in favor of ending the war on American terms. On September 3, 1783, the British signed the Treaty of Paris giving the United States nearly all the territory east of the Mississippi River and south of the Great Lakes. About 60,000 Loyalists migrated to other British territories in Canada and elsewhere, but the great majority remained in the United States. With its victory in the American Revolution, the United States became the first constitutional republic in world history founded on the consent of the governed and the rule of law.

"
Flag on Prospect Hill debate,76953807,"According to tradition, the first flag of the United States, the Grand Union Flag (""Continental Colours""), was raised by General George Washington at Prospect Hill in Somerville, Massachusetts, on 1 January 1776, in an attempt to raise the morale of the men of the Continental Army. There was a 76-foot liberty pole situated on Prospect Hill on 22 August 1775 that ""was visible from most parts of the American lines, as well as from Boston"". The standard account has been questioned by modern researchers most notably Peter Ansoff, who in 2006 published a paper entitled ""The Flag on Prospect Hill"" where he advances the argument that Washington flew the Union Jack (""British Union Flag"") and not the Continental Colours that bears 13 stripes. Others, such as Byron DeLear, have argued in favour of the traditional version of events.
There is a Prospect Hill Monument that was erected in 1903 and annual flag-raising ceremonies involving American Revolutionary War reenactors are held at Prospect Hill on New Year's Day.","According to tradition, the first flag of the United States, the Grand Union Flag (""Continental Colours""), was raised by General George Washington at Prospect Hill in Somerville, Massachusetts, on 1 January 1776, in an attempt to raise the morale of the men of the Continental Army. There was a 76-foot liberty pole situated on Prospect Hill on 22 August 1775 that ""was visible from most parts of the American lines, as well as from Boston"". The standard account has been questioned by modern researchers most notably Peter Ansoff, who in 2006 published a paper entitled ""The Flag on Prospect Hill"" where he advances the argument that Washington flew the Union Jack (""British Union Flag"") and not the Continental Colours that bears 13 stripes. Others, such as Byron DeLear, have argued in favour of the traditional version of events.
There is a Prospect Hill Monument that was erected in 1903 and annual flag-raising ceremonies involving American Revolutionary War reenactors are held at Prospect Hill on New Year's Day."
Template:American Revolution origins,17003234,,
Boston Caucus,36486735,"The Boston Caucus was an informal political organization that had considerable influence in Boston in the years before and after the American Revolution. This was perhaps the first use of the word caucus to mean a meeting of members of a movement or political party to agree on a common position.
The Boston Caucus was established in around 1719 by the popular physician and merchant Elisha Cooke, Jr. It quickly grew as a powerful political force in the area but its later activities are what associate it most with Samuel Adams and the run up to American Independence. Adams became an influential leader of the caucus in the 1750s and used the club in the 1760s and 1770s to help gain him political leeway. The group developed a nefarious, rebellious reputation, meeting in taverns, and plotting.  The Boston Caucus and Samuel Adams were reputed to have had significant influence in 1773 with the events associated with the Boston Tea Party.","The Boston Caucus was an informal political organization that had considerable influence in Boston in the years before and after the American Revolution. This was perhaps the first use of the word caucus to mean a meeting of members of a movement or political party to agree on a common position.
The Boston Caucus was established in around 1719 by the popular physician and merchant Elisha Cooke, Jr. It quickly grew as a powerful political force in the area but its later activities are what associate it most with Samuel Adams and the run up to American Independence. Adams became an influential leader of the caucus in the 1750s and used the club in the 1760s and 1770s to help gain him political leeway. The group developed a nefarious, rebellious reputation, meeting in taverns, and plotting.  The Boston Caucus and Samuel Adams were reputed to have had significant influence in 1773 with the events associated with the Boston Tea Party."
Boston Massacre,82254,"The Boston Massacre (known in Great Britain as the Incident on King Street) was a confrontation in Boston on March 5, 1770, in which nine British soldiers shot several of a crowd of three or four hundred who were harassing them verbally and throwing various projectiles. The event was heavily publicized as ""a massacre"" by leading Patriots such as Paul Revere and Samuel Adams. British troops had been stationed in the Province of Massachusetts Bay since 1768 in order to support crown-appointed officials and to enforce unpopular Parliamentary legislation.
Amid tense relations between the civilians and the soldiers, a mob formed around a British sentry and verbally abused him. He was eventually supported by seven additional soldiers, led by Captain Thomas Preston, who were hit by clubs, stones, and snowballs. Eventually, one soldier fired, prompting the others to fire without an order by Preston. The gunfire instantly killed three people and wounded eight others, two of whom later died of their wounds.
The crowd eventually dispersed after acting governor Thomas Hutchinson promised an inquiry, but they reformed the next day, prompting the withdrawal of the troops to Castle Island. Eight soldiers, one officer, and four civilians were arrested and charged with murder, and they were defended in court by attorney, and future U.S. president, John Adams. Six of the soldiers were acquitted; the other two were convicted of manslaughter and given reduced sentences. The two found guilty of manslaughter were sentenced to branding on their hand.
Depictions, reports, and propaganda about the event heightened tensions throughout the Thirteen Colonies, notably the colored engraving produced by Paul Revere.

","The Boston Massacre (known in Great Britain as the Incident on King Street) was a confrontation in Boston on March 5, 1770, in which nine British soldiers shot several of a crowd of three or four hundred who were harassing them verbally and throwing various projectiles. The event was heavily publicized as ""a massacre"" by leading Patriots such as Paul Revere and Samuel Adams. British troops had been stationed in the Province of Massachusetts Bay since 1768 in order to support crown-appointed officials and to enforce unpopular Parliamentary legislation.
Amid tense relations between the civilians and the soldiers, a mob formed around a British sentry and verbally abused him. He was eventually supported by seven additional soldiers, led by Captain Thomas Preston, who were hit by clubs, stones, and snowballs. Eventually, one soldier fired, prompting the others to fire without an order by Preston. The gunfire instantly killed three people and wounded eight others, two of whom later died of their wounds.
The crowd eventually dispersed after acting governor Thomas Hutchinson promised an inquiry, but they reformed the next day, prompting the withdrawal of the troops to Castle Island. Eight soldiers, one officer, and four civilians were arrested and charged with murder, and they were defended in court by attorney, and future U.S. president, John Adams. Six of the soldiers were acquitted; the other two were convicted of manslaughter and given reduced sentences. The two found guilty of manslaughter were sentenced to branding on their hand.
Depictions, reports, and propaganda about the event heightened tensions throughout the Thirteen Colonies, notably the colored engraving produced by Paul Revere.

"
Brown Bess,185318,"""Brown Bess"" is a nickname of uncertain origin for the British Army's muzzle-loading smoothbore flintlock Land Pattern Musket and its derivatives. The musket design remained in use for over a hundred years with many incremental changes in its design. These versions include the Long Land Pattern, the Short Land Pattern, the India Pattern, the New Land Pattern Musket, and the Sea Service Musket.
The Long Land Pattern musket and its derivatives, all 0.75 inches calibre flintlock muskets, were the standard long guns of the British Empire's land forces from 1722 until 1838, when they were superseded by a percussion cap smoothbore musket. The British Ordnance System converted many flintlocks into the new percussion system known as the Pattern 1839 Musket. A fire in 1841 at the Tower of London destroyed many muskets before they could be converted. Still, the Brown Bess saw service until the middle of the nineteenth century.
Most male citizens of the thirteen colonies of British America were required by law to own arms and ammunition for militia duty. The Long Land Pattern was a common firearm in use by both sides in the American War of Independence.
In 1808 during the Napoleonic Wars, the United Kingdom subsidised Sweden (during the period when Finland was under Swedish rule) in various ways as the British government anxiously wanted to keep an ally in the Baltic Sea region. These included deliveries of significant numbers of Brown Bess-muskets for use in the Finnish War of 1808 to 1809.
During the Musket Wars (1820s–30s), Māori warriors used Brown Besses purchased from European traders at the time. Some muskets were sold to the Mexican Army, which used them during the Texas Revolution of 1836 and the Mexican–American War of 1846 to 1848. Brown Besses saw service in the First Opium War and during the Indian rebellion of 1857. Zulu warriors, who had also purchased them from European traders, used them during the Anglo-Zulu War in 1879. One was even used in the Battle of Shiloh in 1862, during the American Civil War.","""Brown Bess"" is a nickname of uncertain origin for the British Army's muzzle-loading smoothbore flintlock Land Pattern Musket and its derivatives. The musket design remained in use for over a hundred years with many incremental changes in its design. These versions include the Long Land Pattern, the Short Land Pattern, the India Pattern, the New Land Pattern Musket, and the Sea Service Musket.
The Long Land Pattern musket and its derivatives, all 0.75 inches calibre flintlock muskets, were the standard long guns of the British Empire's land forces from 1722 until 1838, when they were superseded by a percussion cap smoothbore musket. The British Ordnance System converted many flintlocks into the new percussion system known as the Pattern 1839 Musket. A fire in 1841 at the Tower of London destroyed many muskets before they could be converted. Still, the Brown Bess saw service until the middle of the nineteenth century.
Most male citizens of the thirteen colonies of British America were required by law to own arms and ammunition for militia duty. The Long Land Pattern was a common firearm in use by both sides in the American War of Independence.
In 1808 during the Napoleonic Wars, the United Kingdom subsidised Sweden (during the period when Finland was under Swedish rule) in various ways as the British government anxiously wanted to keep an ally in the Baltic Sea region. These included deliveries of significant numbers of Brown Bess-muskets for use in the Finnish War of 1808 to 1809.
During the Musket Wars (1820s–30s), Māori warriors used Brown Besses purchased from European traders at the time. Some muskets were sold to the Mexican Army, which used them during the Texas Revolution of 1836 and the Mexican–American War of 1846 to 1848. Brown Besses saw service in the First Opium War and during the Indian rebellion of 1857. Zulu warriors, who had also purchased them from European traders, used them during the Anglo-Zulu War in 1879. One was even used in the Battle of Shiloh in 1862, during the American Civil War."
Commemoration of the American Revolution,56223894,"Commemoration of the American Revolution typifies the patriotic sentiment surrounding the American Revolution and the desire to preserve and honor the ""Spirit of '76"". As the founding story of the United States, it is covered in the schools, memorialized by a national holiday, and commemorated in monuments, artwork, and in popular culture. Independence Day (the ""Fourth of July"") is a major national holiday celebrated annually. Besides local sites such as Bunker Hill, one of the first national pilgrimages for memorial tourists was Mount Vernon, George Washington's estate, which attracted ten thousand visitors a year by the 1850s.","Commemoration of the American Revolution typifies the patriotic sentiment surrounding the American Revolution and the desire to preserve and honor the ""Spirit of '76"". As the founding story of the United States, it is covered in the schools, memorialized by a national holiday, and commemorated in monuments, artwork, and in popular culture. Independence Day (the ""Fourth of July"") is a major national holiday celebrated annually. Besides local sites such as Bunker Hill, one of the first national pilgrimages for memorial tourists was Mount Vernon, George Washington's estate, which attracted ten thousand visitors a year by the 1850s."
Committee of safety (American Revolution),1254421,"In the American Revolution, committees of correspondence, committees of inspection, also known as committees of observation and committees of safety, were different local committees of Patriots that became a shadow government; they took control of the Thirteen Colonies away from royal officials, who became increasingly helpless.
In the Province of Massachusetts Bay, as affairs drew toward a crisis, it became usual for towns to appoint three committees: of correspondence, of inspection, and of safety. The first was to keep the community informed of dangers either legislative or executive, and concert measures of public good; the second to watch for violations of non-importation agreements, or attempts of loyalists to evade them; the third to act as general executive while the legal authority was in abeyance. In February 1776 these were regularly legalized by the Massachusetts General Court but consolidated into one called the ""Committee of Correspondence, Inspection, and Safety"" to be elected annually by the towns.","In the American Revolution, committees of correspondence, committees of inspection, also known as committees of observation and committees of safety, were different local committees of Patriots that became a shadow government; they took control of the Thirteen Colonies away from royal officials, who became increasingly helpless.
In the Province of Massachusetts Bay, as affairs drew toward a crisis, it became usual for towns to appoint three committees: of correspondence, of inspection, and of safety. The first was to keep the community informed of dangers either legislative or executive, and concert measures of public good; the second to watch for violations of non-importation agreements, or attempts of loyalists to evade them; the third to act as general executive while the legal authority was in abeyance. In February 1776 these were regularly legalized by the Massachusetts General Court but consolidated into one called the ""Committee of Correspondence, Inspection, and Safety"" to be elected annually by the towns."
Committees of correspondence,1138115,"The committees of correspondence were a collection of American political organizations that sought to coordinate opposition to British Parliament and, later, support for American independence during the American Revolution. The brainchild of Samuel Adams, a Patriot from Boston, the committees sought to establish, through the writing of letters, an underground network of communication among Patriot leaders in the Thirteen Colonies. The committees were instrumental in setting up the First Continental Congress, which convened in Philadelphia in September and October 1774.","The committees of correspondence were a collection of American political organizations that sought to coordinate opposition to British Parliament and, later, support for American independence during the American Revolution. The brainchild of Samuel Adams, a Patriot from Boston, the committees sought to establish, through the writing of letters, an underground network of communication among Patriot leaders in the Thirteen Colonies. The committees were instrumental in setting up the First Continental Congress, which convened in Philadelphia in September and October 1774."
Conquest of New France,18420108,"The conquest of New France (French: La Conquête) –  the military conquest of New France by  Great Britain during the Seven Years' War of 1756–1763 –  started with a British campaign in 1758 and ended with the region being put under a British military regime between 1760 and 1763. Britain's acquisition of  Canada became official with the 1763 Treaty of Paris that concluded the Seven Years' War.
The term is usually used when discussing the impact of the British conquest on the 70,000 French inhabitants, as well as on the First Nations. At issue in popular and scholarly debate ever since is the British treatment of the French population, and the long-term historical impact for good or ill.

","The conquest of New France (French: La Conquête) –  the military conquest of New France by  Great Britain during the Seven Years' War of 1756–1763 –  started with a British campaign in 1758 and ended with the region being put under a British military regime between 1760 and 1763. Britain's acquisition of  Canada became official with the 1763 Treaty of Paris that concluded the Seven Years' War.
The term is usually used when discussing the impact of the British conquest on the 70,000 French inhabitants, as well as on the First Nations. At issue in popular and scholarly debate ever since is the British treatment of the French population, and the long-term historical impact for good or ill.

"
